dataset,model,sample_id,S,stable_at_0.05,stable_at_0.10,stable_at_0.15,stable_at_0.20,n_variants_used
MeetingBank,gemini-2.5-pro,8,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,9,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,10,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,11,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,12,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,13,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,14,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,15,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,16,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,17,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,18,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,19,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,20,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,21,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,22,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,23,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,24,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,25,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,26,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,27,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,28,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,29,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,30,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,31,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,32,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,33,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,34,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,35,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,36,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,37,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,38,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,39,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,40,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,41,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,42,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,43,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,44,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,45,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,46,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,47,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,48,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,49,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,50,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,51,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,52,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,53,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,54,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,55,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,56,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,57,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,58,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,59,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,60,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,61,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,62,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,63,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,64,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,65,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,66,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,67,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,68,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,69,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,70,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,71,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,72,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,73,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,74,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,75,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,76,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,77,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,78,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,79,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,80,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,81,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,82,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,83,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,84,1.0,0,0,0,0,1
